plate,rTL,sex,date,Habitat,NID,Age (day),Age (year),SOSP brood size,total brood size,year,site,nest.para.fig,nest.para,para.comp,bhco.hab
2,0.81,NA,5/26/19,Urban,08IJV19,10,HY,2,2,2019,north vt,yes,yes,yes,urban.yes
2,0.8,NA,5/26/19,Urban,08IJV19,10,HY,2,2,2019,north vt,yes,yes,yes,urban.yes
7,0.75,NA,6/1/20,Urban,28SJL20,6,HY,4,5,2020,radford,yes,yes,yes,urban.yes
1,0.84,NA,6/1/20,Urban,28SJL20,6,HY,4,5,2020,radford,yes,yes,yes,urban.yes
3,0.61,NA,6/4/22,Urban,10TEF22,6,HY,2,3,2022,radford,yes,yes,yes,urban.yes
3,0.7,NA,6/4/22,Urban,10TEF22,6,HY,2,3,2022,radford,yes,yes,yes,urban.yes
5,0.58,NA,6/9/22,Urban,22IJV22,6,HY,2,3,2022,radford,yes,yes,yes,urban.yes
6,0.95,male,6/25/19,Urban,19IJV19,8,HY,2,3,2019,radford,yes,yes,yes,urban.yes
6,0.82,male,6/25/19,Urban,19IJV19,8,HY,2,3,2019,radford,yes,yes,yes,urban.yes
1,0.56,female,6/8/19,Urban,13IJV19,9,HY,3,4,2019,radford,yes,yes,yes,urban.yes
1,0.56,male,6/8/19,Urban,13IJV19,9,HY,3,4,2019,radford,yes,yes,yes,urban.yes
1,0.64,male,6/8/19,Urban,13IJV19,9,HY,3,4,2019,radford,yes,yes,yes,urban.yes
6,0.71,female,6/14/19,Urban,43SJL19,9,HY,2,3,2019,radford,yes,yes,yes,urban.yes
6,0.73,NA,6/10/21,Urban,32sjl21,9,HY,2,3,2021,radford,yes,yes,yes,urban.yes
6,0.77,NA,6/10/21,Urban,32sjl21,9,HY,2,3,2021,radford,yes,yes,yes,urban.yes
2,0.73,NA,6/20/21,Urban,30SJL21,9,HY,2,3,2021,radford,yes,yes,yes,urban.yes
5,0.73,NA,6/12/22,Urban,22IJV22,9,HY,2,3,2022,radford,yes,yes,yes,urban.yes
5,0.6,NA,6/12/22,Urban,22IJV22,9,HY,2,3,2022,radford,yes,yes,yes,urban.yes
6,0.87,NA,6/9/20,Urban,15IJV20,5,HY,2,3,2020,south vt,yes,yes,yes,urban.yes
3,1.22,NA,5/31/22,Urban,13TEF22,6,HY,4,4,2022,south vt,yes,yes,yes,urban.yes
3,0.96,NA,5/31/22,Urban,13TEF22,6,HY,4,4,2022,south vt,yes,yes,yes,urban.yes
3,0.73,NA,5/31/22,Urban,13TEF22,6,HY,4,4,2022,south vt,yes,yes,yes,urban.yes
3,0.75,NA,6/12/22,Urban,19TEF22,6,HY,1,2,2022,south vt,yes,yes,yes,urban.yes
1,0.53,NA,6/16/22,Urban,21SJL22,6,HY,2,3,2022,south vt,yes,yes,yes,urban.yes
1,0.56,NA,6/16/22,Urban,21SJL22,6,HY,2,3,2022,south vt,yes,yes,yes,urban.yes
6,1.1,NA,6/30/22,Urban,31IJV22,6,HY,2,3,2022,south vt,yes,yes,yes,urban.yes
2,0.64,male,5/6/19,Urban,12SJL19,8,HY,2,3,2019,south vt,yes,yes,yes,urban.yes
2,1.14,female,5/6/19,Urban,12SJL19,8,HY,2,3,2019,south vt,yes,yes,yes,urban.yes
3,0.58,NA,7/2/21,Urban,34SJL21,9,HY,2,3,2021,south vt,yes,yes,yes,urban.yes
3,0.76,NA,7/2/21,Urban,34SJL21,9,HY,2,3,2021,south vt,yes,yes,yes,urban.yes
6,0.71,NA,6/12/20,Urban,15IJV20,9,HY,1,2,2020,south vt,yes,yes,yes,urban.yes
3,0.86,NA,5/31/21,Urban,27SJL21,9,HY,2,3,2021,south vt,yes,yes,yes,urban.yes
3,0.68,NA,5/31/21,Urban,27SJL21,9,HY,2,3,2021,south vt,yes,yes,yes,urban.yes
7,0.86,NA,6/18/22,Urban,18SJL22,9,HY,1,2,2022,south vt,yes,yes,yes,urban.yes
5,0.43,male,6/3/19,Urban,18SJL19,10,HY,3,4,2019,south vt,yes,yes,yes,urban.yes
5,0.59,female,6/3/19,Urban,18SJL19,10,HY,3,4,2019,south vt,yes,yes,yes,urban.yes
5,0.57,female,6/3/19,Urban,18SJL19,10,HY,3,4,2019,south vt,yes,yes,yes,urban.yes
4,0.91,male,6/12/19,Urban,01AG19,10,HY,1,2,2019,south vt,yes,yes,yes,urban.yes
